DR,NARRATIVE,CRIMETYPE
121321274, BLK TAHOE PULLED IN FRONT OF V AND ASKED WHAT GANG THEY ARE FROM S1   EXIT VEH AND POINTED A GUN AT ONE OF THE V THEN FLED UNK DIRECT,Aggravated Assault  
100807907,UNK SUSPS REMOVED VICTS CONSTRUCTION EQUIP FROM A RETAIL SUPERMARKET   WITHIN AN OUTDOOR MALL AREA SUSPS LEFT LOC WITH VICTS PROPERTY UNDETECTED,Grand Theft Auto 
140109335,UNK SUSP BROKE THE PASSENGER SIDE FRONT WINDOW OF VICT VEH WITH AN UNK HARD OBJ TO GAIN ENTRY SUSP ENTERED VICT VEH N REMOVED VICT PROPERTY,BTFV
91101157,S APPROACH V AND YELLED OUT  FUCK CHAVALLA PARK   S PRODUCED GUN AND V BEGAN TO RUN   THEN S SHOT ONE ROUND AND STRUCK V IN BACK   S FLED LOC,Aggravated Assault  
101710806,S STOLE V VEH  REMOVED PROPERTY  REPORT RELATED TO STOLEN VEH,Grand Theft Auto 
111012046,SUSP SHOT AT VICT WITH FIREARM CAUSING INJURY,Aggravated Assault  
131500583, SUSP RENTED RENTAL CAR FROM ENTERPRISE BUSINESS  SUSP REFUSED TO RETURN VEH AND REFUSES TO PAY COLLECTING LATE FEES,Grand Theft Auto 
101921511,UNK S BROKE LOCK ON REAR HATCH ON VEH S ATT TO START VEH DAMAGING THE STERING COLUMN S ALSO DMAAGED ELECTRONICS UNDER HOOD S FLED UNK DIRECTION,Grand Theft Auto 
111407218,S ENT RES PREPARED A BOWL OF CEREAL AND ATE STRAWBERRIES V ASKED S TO  LEAVE AT WHICH TIME THE S LEFT,BURG
91818221,VICT REPORTED HER VEH STOLEN THE VEH WAS RECOVERED AND RELEASED TO RO  VICTIM NOTICED PROPERTY MISSING,Grand Theft Auto 
101516414,UNK S ENTERED VICTS PARKED/SECURED VEH OPENED VEH TRUNK FROM INSIDE    REMOVED VICTS PROP FROM TRUNK AND FLED LOC IN UNK DIRECTION WITH VICTS PROP,BTFV
92013579, UNK SUSP ATTEMPTED TO GAIN ENTRY INTO RESID THROUGH REAR WINDOW VICT WAS SCARED OFF BY VICT,BURG
141011378, SUSP APPROACHED VICT PRODUCING A KNIFE FROM HIS PERSON POINTED KNIFE  AT VICT VICT IN FEAR GAVE SUSP PROPERTY SUSP FLED WITH VICTS PROP,Robbery
112104818,UNK SUSPS RMVD V PROP FROM HIS VEH WHEN THE VEH WAS STOLEN  VEH IS NOW RECOVERED,Grand Theft Auto 
121319759,UNK SUSPS ENTERED BUSINESS POSING AS CUSTOMERS TOOK VICTS PROP AND     FLED UNK DIR,THEFT
112011147,UNK S ENTERED LOC AND ATTEMPTED TO TAKE PROP FROM PR USING A SCREW DRIVER PR IN FEAR THREATENED S WITH PEPPER SPRAY CAN S THEN FLED ON FOOT TO UNK LOC,Robbery
91313322,SUSP 1 AND SUSP 2 PARKED VEH NEAR VICT AND EXIT SUSP 1 PLACES ARM      AROUND VICT AND SNATCHES NECKLACE FROM HER NECK SUSPS FLED IN VEH,Robbery
112014410,SUSP CONCEALED ITEM IN PANTS SUSP PASSED MANNED REGISTER AND EXITED STORE WITHOUT PAYING,THEFT
140206722,S1 S2 APPROACHED VICT S1 STATED DONT MOVE S2 PRODUCED A HANDGUN S1 REMOVED VICTS PROP SUSPS THEN ENT VEH AND FLED LOC,Robbery
121414668,UNK S USED UNK TOOL TO FORCE FRONT DOOR OPEN S ENTERED RES UNDER CONST USED TORCH TO OPEN METAL STORAGE BOX AND REMOVED V PROPERTY,BURG
91704500,UNK SUSP GAINED ENTRY INTO VICTS UNSECURED VEH AND DAMAGED IGNITION BY ATTMPTNG TO HOTWIRE VEH,Grand Theft Auto 
120215288,SUSPS TIED VICTS HAND BEHIND HIS BACK  THEN DROVE HIM TO AN ALLEY WHERES1 PRODUCED A HANDGUN AND SHOT HIM ONCE TO HIS HEAD,Aggravated Assault  
120208464,UNK SUSP POSS ENTERED VICTS UNLOCKED DOOR SUSP REMOVED VICTS PROPERTY AND FLED POE IN UNK DIRECTION,THEFT
130222841,S PICKED UP WALLET FROM SIDEWALK AFTER SEING V DROP IT AND FLED WITH   PROP ON BURLINGTON TOWARD 11TH STREET,THEFT
100815097,UNK SUSP OPENED V UNLKD DRV SIDE DR ENTERED V VEH AND REMVD V PROP SUSPTHEN FLED TO UNK LOC IN UNK DIR,BTFV
90104734,SUS ENTERS VEH N DAMAGE IGNITION STEERING COLUMN IN AN ATT TO TAKE VEH,Grand Theft Auto 
120213500,UNK S GAINED ENTRY INTO VICTS VEH RANSACKED INTERIOR REMOVED VICTS PROPAND FLED TO UNK LOCATION  V UNSURE WHETHER VEH WAS LOCKED/SECURED NIGHT BEFORE,BTFV
111005599, SUSP RODE BICYCLE PAST VICT  BLOCKED VICT WITH BICYCLE AND DEMANDED   VICTS IPOD VICT IN FEAR COMPLIED  SUSP FLED WITH VICTS PROP,Robbery
101700737,SUSP CUT SECURITY TARP AT KIOSK AND REMOVED MDSE,BURG
111704559,UNK SUSPS PRIED OPEN DOOR ONCE INSIDE REMOVED PLASMA TV AND EXIT VIA   POE,BURG
100204841,DEFT THREATENED TO KILL VICT WHILE POINTING FIREARM AT VICT DURING ALTERCATION,Aggravated Assault  
121006324, UNK SUSPS SMASHED SIDE WINDOW ENTERED VICTS BEDROOM AND BATHROOM TOOK PROP LEFT VIA POE,BURG
100217300,SUSPS STRUCK VICT IN BACK OF HEAD W GLASS BOTTLE  SUSPS REM VICTS PROP SUSPS FLED ON FOOT W VICTS PROP TO UNK LOC,Robbery
130215902,UNK SUSPS TOOK VICT PROP OUTSIDE OF STORE AND FLED LOC IN AN UNK DIR,THEFT
110514823,UNK SUSP ENTERED VICTS UNLOCKED CAR & OPENED GARAGE DOOR W/REMOTE ENTERED GARAGE & REMOVED PROP REMOVED 2 WOODY BEACH CRUISERS MONEY KNIFE BLUE TOOTH,BURG
131101193,SUSP CHALLENGED VICT TO FIGHT  VICT ACCEPTED NOT KNOWING SUSP HAD KNIFE,Aggravated Assault  
91310386, S APPROACHD V ON FOOT S ASKD V FOR MON V WLKD AWAY AS V WLKD AWAY S FRAPPROX 4 RNDS AT V STRKNG V ONCE IN LOWER BACK,Aggravated Assault  
131400827,S AND V GOT IN VERBAL ARGUMENT S BRANDISHED KNIFE ATTEMPTED TO STAB V FIGHT ENSUED FOR KNIFE S PICKED UP A BRICK THREW AT V STRIKING HIM IN THE HEAD,Aggravated Assault  
131701028,SUBJECTS APPRO VICT BECAUSE HE WAS BLACK AND STRUCK VICT W CLOSED FISTSCAUSING CONCUSSION AND FACIAL INJURIES,Aggravated Assault  
110519765,SUSP APPROACHED VICT AND BEGAN TO PUNCH VICT SUSP STATE FUCK WILMINGTONRANCHO,Aggravated Assault  
90119786,VICTS PROP WAS IN HAYES HOTEL ROOM FOR 3 DAYS  V 2AS INV WITH HAYES IN VERBAL ARGUMENT,THEFT
100118876,UNK SUSP USED UNK HARD OBJ TO SMASH PASSENGER WINDOW OF VICTS VEH AND  REMOVE V'S MEXICAN ID CARD.,BTFV
101214705,UNK S USED UNK TOOL TO PRY OPEN REAR WINDOW AND GAIN ENTRY INTO RESID  UNK S FLED RESD WHEN ALARM SOUND WITHOUT V PROPERTY,BURG
141800799,SUSPS USED KEY TO UNLOCK SECURITY DOOR OF VACANT UNIT SUSPS GAINED     ENTRY AND VANDALIZED THE WALLS AND DOORS SUSPS ALSO USED WATER HOSE TO FLOOD HM,BURG
130504123,UNK S REMOVED VICTS PROP FROM STOLENRCVD CONTAINER,Grand Theft Auto 
111611191,UNK SUSP ENTERED RM USING FORCE & RMVD VICT'S CIGARETTES AND CURRENCY,BURG
122012633, THE SUSP USED LEATHER BELT WITH METALLIC BUCKLE TO STRIKE VICT MULTIPLE TIMES,Aggravated Assault  
101321696,SUSP APP VICTS 13 AND ATT TO HIT THEM WITH A TIRE IRON,Aggravated Assault  
100401254,SUSP USED UNK TOOL TO GAIN ENTRY TO VEH SUSP REMOVED CLUB LOCK FROM    VEH SUSP THEN ATT TO TAKE VEH,Grand Theft Auto 
100509554,SUSP ENTERED STORE SELECTED ITEMS AND EXITED WITHOUT PAYING SUSP PUSHED AND PUNCHED STORE REP,Robbery
91909197,UNK S REMOVED V PROPERTY FROM V STOLEN VEHICLE,Grand Theft Auto 
91223678,VIC WAS WALKING AND WAS APPROACHED BY 3 SUSPS S1 S2 GRABBED VICS ARMS AND HELD THEM BEHIND HER BACK S3 GRABBED VIC NECKLACE ALL SUSPECTS FLED,Robbery
121317766,SUSPS APP V AND DEMANDED MONEY S1 TOLD GROUP TO JUMP V S1 ATT TO STRIKEVICT THE VICT FLED FROM GROUP,Robbery
90314121,SUSPS APPROACHED V1 AS SHE WAS WALKING WB ON EXPOSITION FROM DEGNAN SUPEXITED VEH AND THREATENED TO SHOOT V1 WHIL POINTING A GUN AT HER SUPS FLED,Aggravated Assault  
101710846,S SMASHED V GLASS DOOR TO GAIN ENTRY  S REMOVED V PROPERTY AND FLED    VIA POE,BURG
132013101,UNK SUSPS USED UNK TOOL TO ENTER VEH PASS DOOR UNK SUSP TAMPERED W VEH STEREO THN ATTEMPTED TO TURN ON VEH WTH UNK TOOL SUSPS THEN EXITED VEH AND FLED,Grand Theft Auto 
131216446,S1 AND V WERE ENGAGED IN VERBAL ARGUMENT S1 AND S2 HIT V ON THE HEAD WITH COFFEE MUG S1 TOOK V PROP SUSPS FLED TO UNK DIR,Robbery
111508746,SUSPS REMOVED VICTS PROP THEN FLED TO UNK LOC,THEFT
110605465,S MAKES NEG REMARKS TO V S APPROACHES V WHILE V IS SITTING DOWN IN PLASTIC CHAIR S PUNCHES V IN FACE V LOOSES CONSCIOUSNESS,Aggravated Assault  
90518407,UNK S ENT VICTS RESD THRU OPEN WINDOW AND REMOVED VICTS PROP,BURG
100614704,UNK SUSP SMASHED REAR SIDE WINDOW WITH UNK HARD OBJ REMOVED PROP FROM INSIDE VEH AND FLED IN UNK DIRECTION,BTFV
132104486,UNK SUSP ENTERED V BY PRYING OPEN THE REAR BEDROOM DOOR W UNK TOOL UNK SUSP REMOVED V PROP AND FLED THRU FRONT DOOR,BURG
141113349,S AND V WERE IN PHYSICAL ALTERCATION   S HIT V WITH FIST AND PUSHED V  TO GROUND   THEN KICKED V ON THE HEAD,Aggravated Assault  
90320351,S ENTERED V RESID THROUGH UNLOCKED REAR DOOR S REMOVED V LAPTOP        COMPUTER FROM RESID AND FLED FROM THE LOC NB 7TH AVE,BURG
121523906,VICT APPRO SUSP AND STATED NICE CAR INEXPLICABLY SUSP BECAME IRATE     AND HIT VICT ON THE HEAD W A HARD METAL OBJ SUSP FLED IN UNK DIR,Aggravated Assault  
131209692,S WALKED PAST V VEH AND BEGAN SHOOTING FOR NO APPARENT REASON S FLED ONFOOT EV 65TH ST,Aggravated Assault  
121523060,S REMOVED VS PROP LEFT UNSECURED AT VS TEMPORARY RESIDENCE  V TEMPORARILY LOCATED LAPTOP USING IPHONE   TAKENAPPLE MACBOOK PRO SERIAL C02F9UTLDF8V,THEFT
121211324, UNK SUSP ENTERED V VEH FRONT PASS DOOR AND REMOVED VICT PROP FORM INSIDE THE VEH  SUSP THE FLED IN UNK DIR WITH PROP,BTFV
130909280,UNK SUSPS BROKE OPEN VICTS DRIVERS DOOR STOLE VICTS PROP AND DAMAGED   HIS CAR,BTFV
140213780,VICT LOCKED AND SEC VEH UPON RETURNING DISCOVERED WINDOW SMASHED AND PROPERTY TAKEN,BTFV
140207683,UNK S PRIED OPEN REAR DOOR TO VEHICLE UNK S ENTERED V VEH UNK S REMOVEDV PROP UNK S FLED TO UNK LOC WITH V PROP,BTFV
141511526,SUBJS KICKED IN/SMASHED SCHOOL'S SUNROOF ENTERD AND WENT TO COMPUTER LAB S1 TOOK COMBINATION LOCK SS SAW OFCRS AND FLED MULTI2 ARREST 39836673983672,BURG
110805041,S GAINED ACCESS TO PARKING GARAGE VANDALIZED V N ATTEMPTED TO GAIN     ACCESS TO V2 N V3 VEH S FLED IN,BTFV
110818072,UNK S RMVD PROP FROM VS STOLEN VEH,Grand Theft Auto 
110507563,SUSP(NEPHEW) CONFRONTED VICTS W/KNIFE SUSP STABBED V1 IN THE HEAD & V2 ON THE BACK & LOWER NECK AREA,Aggravated Assault  
102008777,UNK S PRIED REAR DOOR OPEN TO GAIN ENTRY TO VICT RESD S THEN PRIED OPENSECOND DR UNK IF ANY PROPERTY RMVD UNK IF S ENTRD LOC S THEN FLED VIA POE,BURG
90108796,SUSP ANGRILY HELD KNIFE AND STATED I AM GOING TO KILL YOU,Aggravated Assault  
131115339,S ENTERED LOC TOOK PROP LEFT WITHOUT PAYING WHEN CONFRONTED BECAME INVLIN PHYSICAL STRUGGLE,Robbery
110119804,SUSP ENTERED VEH TURNED VEH ON AND FLED LOC,Grand Theft Auto 
101305831,SUSPS 1 THRU 3 DRVR UP TO R PKD TRUCK S1 ENTERS TRUCK REMOVED MERCHAND ISE S1 BEATS R WHEN HE TRIES TO RETRIEVE PROP SUSPS 1 THRU 3 FLEE IN VEH,Robbery
120711891,UNK SUSP UNLOCKED VICTS VEH BY UNK MEANS ENTERED VEH REMOVED PROP AND  FLED IN AN UNK DIRECTION,BTFV
130507007,UNKI S TOOK THE V FIREARM WITHOUT HIS PERMISSION FROM THE BACKSEAT OF  VEH S FLED WITH V PROP. PROP TAKEN BLK SEMI AUTO 45 CAL H&K SN#25094685 M,BTFV
90806793, UNK SUSPS SMASHED VICTS VEH WINDOW WITH UNK OBJ SUSPS REMOVED VICT PROP AND FLED IN UNK DIRECTION,BTFV
120210268,SUSPS APPROACHED VICT  SUSP2 DEMANDED VICTS PROP AND THREATED TO CUT HIM SUSP1 REMOVED VICT PROP AND BOTH SUSPS FLED,Robbery
130217038,S APPRAOCHED V AND BOTH EXCHANGED WORDS THE S THEN FIRED APPROX 3 TO 4 SHOTS FROM A HANDGUN STRIKING THE V S THEN FLED LOC,Aggravated Assault  
110114548,UNK SUSP APPROACHED VICT WHILE SHE WAS SLEEPING ON A PUBLIC SIDEWALK   AND TOOK VICTS PROP,THEFT
141010396,S AND V ARE CURRENTLY IN A DATING RELATIONSHIP S MET V TO BUY A MOTORCYCLE SUSP PULLED BLK FOLDING KNIFE FROM POCKET SWUNG KNIFE OPEN DEMAND MONEY AND,Robbery
130321989,V1 WAS DRIVING ON WESTERN ON 41ST WHEN HE WAS FLAggravated Assault  ED DOWN BY A FEMALE V1 PULLED OVER WAS CONFRONTED BY S1 WITH SILVER HANDGUN S1 DEMANDED V1 GET OUT,Grand Theft Auto 
132113243,UNK SUSP XITED VEH PRODUCED A PISTOL N DEMANDED MON SS THEN REACHED IN VICT POCKET N REMOVED US CUR N CELLPHN THEN FLED IN VEH,Robbery
90922074,UNK SUS RMVD PROP FROM V1 BEDRM TOP DRSSER DRWRSUS FLD W PROPV1 DIDNTGIVE ANYONE PERMISSION TO RMVE PROP,THEFT
91407306,S APPROACHED V AS SHE WALKED HOME FROM SCHOOL PUNCHED V IN THE FACE SNATCHED VICTS CELLPHONE FROM HER HANDS S THEN FLED THE SCENE ON FOOT TO UNK LOC,Robbery
141510111,SUSP PRIED OPEN BEDROOM REAR SLIDING GLASS DOOR ENTERED AND REMOVED VICTS PROP,BURG
121210587,S APPROACHED V FORBEHIND AND SNATCHED HER CHAIN FROM HER NECK AND FLED IN AN UNK DIR V IS DECLARED LEGALLY BLIND,Robbery
100914060,SUSP APPROACHED VICT AND BEGAN VERBALLY HARASSING VICT SUSP DUMPED VICTS BELONGING ON THE GROUND SUSP RECOVERED A CAN OF FOOD AND STRUCK VICT ON RT FO,Aggravated Assault  
142106325,SUSP BROKE WINDOW AND ENTD RES SUSP REMOVED PROP FLED IN UNK DIRECTION,BURG
110629339,S GAVE V FALSE RENTAL AGREEMENT V SIGNED AGREEMENT AND GAVE S MONEY FORRENT V LATER DISC S HAD NO AFFILIATION TO THE MANAGEMENT CO,THEFT
141204776,UNK S REMVD PROP FROM V RESID THERE WAS NO EVID OF FORCED ENTRY V BELIEVES ROOMMATES ARE INVLD,THEFT
121807269,S1APPROACHED V S SIMULATED HANDGUN AND STATED GIMME YOUR WALLET TOOK VICT WALLET AND CELLPHONE FLED EAST BOUND WITH SUSP 2 DRIVING BLK VEH TWDS 94 WAL,Robbery
121411973,SUSP USED A FRAUDULENT AMERICAN EXPRESS CARD BELONGING TO SULLIVAN     SHEILA TO RENT A VEHICLE FRM HERTZ RENT A CAR,Grand Theft Auto 
141507845,S REPLACED VS LOCK W ANOTHER LOCK AND TOOK AND SOLD VS PROP ON EBAY  LOC IS PUBLIC STORAGE   TAKENORIG. LIFE MAG. PORTRAIT NEGATIVES POSS PRICELESS,BURG
141313087,S APP V S GARBS V BY THE HAIR AND SNATCHES CHAIN FROM V NECK S THEN FLED TO UNK LOC,Robbery
122100607,SUSP CUT HOLES IN CONVERTIBLE TOPS OF TWO CARS AND REMOVED PROP,BTFV
101810602,UNK SUSPS ENTERED LOCATION AND REMOVED VEH PROPERTY,BURG
140910283,BOTH SUS USED HAMMER TO SMASH FRNTDOORWINDOW TO GAIN ENTONCE INSIDE   SUS RMVD PROP AND FLED UNK DIR,BURG
141006871,SUSP GRABBED VICTS BACKPACK FROM SIDEWALK AND RAN AWAY WITH PROP,THEFT
91219943,SUSP AND VIC WERE DATING  SUSP BECAME INVOLVED IN ARGUMENT WITH VICT   SUSP CUT VICS HAND W GLASS AND SMASHED VICS WINDOW SUSP FLED IN UNK DIRECTION,Aggravated Assault  
130406647,UNK SUSP APPROACHED VICT AND SHOT A SINGLE ROUND TOWARDS THEIR DIRECTIO,Aggravated Assault  
122019157,V1 AND S WERE INVOLVED DISPUTE S RETRIEVED 4 HAMMER AND ATT TO STRIKE V1 V2 INTERVENED AND S ATT TO STRIKE TO STRIKE V2,Aggravated Assault  
132106432,SUSP ENTERED VICTS LAUDNRY RM AND ATT TO BREAK INTO COIN MECHANISM OF  WASHING MACHINE  SUSP WAS INTERRUPTED BY R AND SUSP FLED LOC ON FOOT,THEFT
91426056,SUSP APPROACHED VIC AND RobberyED WITH A CROME HANDGUN SUSP FLED SB ON    ELECTRIC AVE,Robbery
140506664,S GOT INTO VERBL ARGMENT WITH V S PRODUCED A HANDGUN N FIRED APPROX 5 ROUNDS AT V V RETURNED FIRE V FLED IN HIS VEH S FLED IN UNK DIR,Aggravated Assault  
131216218,S AND V GOT INTO HEATED ARGUM  S STABBED V MULT TIMES WITH SCREWDRIVER,Aggravated Assault  
102105345,UNK SUSP USED UNK TOOL TO PRY OPEN FRONT DOOR TO VICT RESD SUSP USED FORCE TO ENTRY SUSP ENTERED LOC REMOVED VICT PROPERTY S FLED IN UNK DIRECTION,BURG
90405376,SUSP EXITED VEH AND CONFRONTED VICT SUSP AND VICT GOT INTO ALTERCATION SUSP THREW A FULL 40OZ BEER BOTTLE AND STRUCK VICT ON HEAD SUSP STRUCK VICT ON,Aggravated Assault  
122012399,UNK S ENTERED THE KENNEDY BLDG BY MEANS OF A KEY OR POSSIBLE UNLOCK DOOR AND ALSO ENTERED RM K102 S REMOVED PRO FROM THE FRONT TABLE IN THE CLASSROOM,THEFT
90608102,S1 DROVE UP TO V S1 AND S2 TOLD V TO COME TO THEIR VEH S1 DEMANDED MONEY S1 POINTED A GUN AT V S FLED IN THEIR VEH AFTER SEEING SECURITY,Robbery
100613628,SUSP PUSHED VICT INTO BATHROOM STALL AND ASKED VICT WHERE YOU FROM     BRANDISHED UNK CAL GUN AT VICT DEMANDING VICTS PROP VICT IN FEAR COMPLIED,Robbery
121213408,S APPROACHED THE V AND FORCIBLY REMOVED THE V PROP FROM HER PERSON V CHASED S AND STURGGLED W S FOR PROP S SLAMMED V HAND IN CAR DOOR AND FLED LOC,Robbery
120504897,UNK SUSP ENTERED VICT'S VEH & ATT TO STEAL VEH. VEH CURRENTLY NOT RUNNING.,Grand Theft Auto 
141211438,VIC ENTERED BUSINESS CONCEALED MERCHANDISE AND EXITED WITHOUT PAYING FOR MERCHANDISE,THEFT
90816972,UNK SUSP ENTERED THROUGH RR DOOR OF RESIDENCE AND REMOVED VICT PROP  SUSP FLED TO UNK LOC,BURG
92119936,SUSP1 DROVE VEH INTO VICT CAUSING THE VICT TO LOSE BALANCE  SUSP       THEN DROVE FROM LOCATION,Aggravated Assault  
91520338,UNK SUSP ENTERS VICTS RESID VIA SIDE BATHROOM WNDW USING UNK MEANS     SUSP RANSACKS RESID RMVS VICTS PROP AND FLEES VIA FRONT DOOR,BURG
90218382,UNK SUSP ENTERED VCITS RESIDENCE THRU AN OPEN WINDOW WHILE VICT WAS ASLEEP SUSP TOOK VICTS PROPERTY EXITED A REAR PATIO DOOR AND FLED IN UNK DIRECTION,BURG
101230514, UNK S ENTERED V VEH BY USE OF A POSSIBLE SLIM JIM SUSP ATTEMPTED TO STEAL VEH BREAKING STEERING CLOUMN  S FLED WITHOUT VEH TO UNK LOC,Grand Theft Auto 
140810273,UNKN SUSP BROKE DRVS SIDE RR WINDOW SUSP ENTERED VEH REMVD V PRO AND FLED UNK DIR,BTFV
90108495,SUSP AND VICT IN VERBAL DISPUTE  SUSP GRABBED GLASS BOTTLE AND STRUCK  VICT ON THE HEAD NUMEROUS TIMES   SUSP FLED ON FOOT,Aggravated Assault  
130513597,SUSP ENTERED VICT UNLOCKED VEHICLE AND RANSACKED INTERIOR SUSP TOOK VICT PROP FROM VEHICLE,BTFV
90707276,S APPROACHED V FROM THE FRONT  STRUCKED V ON THE UPPER LEFT ARM  S THE FLED TO AN UNK LOCATION,Aggravated Assault  
141606780,SUSP FORCED DRIVER SIDE WIN & RMVD CAMERA CLD DEBIT & EBT CARD,BTFV
110717036,SS ENTERED V LOC S2 GRABBED W2 TO GROUND S1 ENTERED OFFICE OCCUPIED BY W1 DEMANDED MONEY W1 HANDED S1 MONEY BOTH SS FLED V LOC WITH V PROPERTY,Robbery
140304265,SUSP1 APPROACHED VICT BRANDISHED A KNIFE AND STATED GIVE ME THE MONEY VICT IN FEAR FOR HIS SAFETY GAVE SUSP HIS PROP,Robbery
141906874,SUSP HOOKED TRAILER UP TO HIS VEH  WITH SPOKE TO SUSP  SUSP STATED HE BOUGHT TRAILER FROM VICT  WIT PHONE PD,Grand Theft Auto 
141211549,S FIRED 7 SHOTS AT V STRIKING V MULTIPLE TIMES,Aggravated Assault  
120114365,S APPRD V GRABBED HER BACKPACK  BRANDISHD PISTOL STATED IM FROM CRIPS VICT IN FEAR FOR HER LIFE RAN AWAY,Robbery
90714191,SUSP APPROACHED V AND POINTED SMALL DRK HANDGUN AT VICTS CHEST S DEMANDED MONEY FROM V SUSP RELIZED V WAS NOT ALONE AND FLED SB THROUGH ALLEY FROM,Robbery
131608904,SUSP ATT TO GAIN ENTRY VIA BATHROOM WIN BUT FAILED. SUSP KICKED SIDE GARAGE DOOOR TRIGGERING ALRAM. SUSP FLED W/O TAKING PROP,BURG
131218938,V WAS SITTING IN VEH WHEN SUSPS APP  V EXITED VEH  SUSPS PUNCHED V KNOCKING V DOWN  UNK S WENT THROUGH V POCKETS AND REMOVED V PROP,Robbery
122113555,UNK SUSPS ENTERED VEH SEARCHED THRU VEH AND REMOVED WORK ID  SUSPS     SQUIRTED SUNTAN LOTION INSIDE VEH  NO EVID OF FORCED ENTRY,BTFV
111316311,MO WHILE V WAS WALKING HOME S1 STRUCK V ON FACE WITH SPRAY CAN  WHILE  ON GRND S2 STRUCK AND KICKED V  S THEN FLED LOC AFTER ASKING V WHERE YOU FROM.,Aggravated Assault  
91221341,UNK S FORCED ENTRY THROUGH FRONT DOOR AND REMOVED V PROPERTY,BURG
120320650,S WALKED UP TTO V  S2 STATED GIVE ME YOUR STUFF  V GAVE S HIS BACKPACK S1 THEN GRABBED THE V CELL PHONE OFF V WAIST AND S FLED NB ON RAYMOND,Robbery
121318228,UNK S CORNERED VICT AGAINST WALL AND BEGAN SEARCHING HIS PNTS PCKTS TAKING V PROP SUSPS THEN FLED TO UNK LOC,Robbery
121404077, S ANV V ARGUED S CUT V ON SHOULDER WITH GLASS AND STRUCK HIM OVER THE LEFT EYE,Aggravated Assault  
111512906,SUSPS ENTERED POSS UNLOCKED FRONT DOOR OR USED KEY AND TOOK VICTS PROP,BURG
90629521,UNK SUSP SMASH V FRNT DOOR ENTERED LOC REMOVED PROP AND FLED LOC WITH PROP TO UNK LOC,BURG
132017041,UNK S USED UNK TOOL TO REMOVED CURRENCY FROM V ARCADE GAME,THEFT
101401244,UNK SUSP ENTERED BACKYARD THROUGH SIDE DOOR THEN ENTERED LOC THROUGH SLSLIGHTLY OPEN WINDOW RANSACKED LOC REMOVED PROP AND FLED LOC,BURG
112013820, SUSP ENTERED VICTS APARTMENT TOOK VICTS PROPERTY CONFRONTED VICT BATTERED VICT AND FLED LOCATION WITH VICTS PROPERTY,Robbery
131427313,UNK SUSP TOOK VICTS PROP WHILE IT WAS FORGOTTEN AT LOC FOR A HALF HOUR,THEFT
91614333,UNK SUSP GAINED ENTRY BY SLASHING OPEN WINDOW SCREEN  SUSP REACHED INSIDE AND RMVD VIC PROP AND FLED,BURG
101011644,S APPROACHED V WITH A KNIFE TRAISED OVER HIS SHOULDER IN A STABBING    POSITION V VLED LOC IN FEAR FOR HIS LIFE,Aggravated Assault  
110906101, UNK SUSP GAINED ACCESS TO VICTS APT BY UNK METHOD  UNK SUSP WENT INSIDE VICTS APT AND STOLE VICTS PROP,BURG
111522929,SUSP ENTERED VICTS VEH BY UNK MEANS REMOVED VICTS PROP AND FLED IN UNK DIR,BTFV
111005251,SUSPS APPROACHED VICT VEH IN A VEH S1 EXITED VEH AND FIRED MULTIPLE    SHOTS AT VICTS VEH S1 RE ENTER VEH AND SUSP VEH FLED NB DENSMORE AVE,Aggravated Assault  
142104822,UNK SUSPS TOOK VICT BASKETBALL HOOP FR IN FRONT OF HER RES THEN FLED W PROPS IN UNK DIR,THEFT
130504262,UNK S RMVD PACKAGE FROM V PORCH UNITED PARCEL CONFIRMED DELIVERY AND V NEIGHBOR ACKNOWLEDGED SEEING THE PACKAGE.PROP TAKENPACKAGE,THEFT
92026813,UNK S OPENED WINDOW OF BUSINESS  ENTERED REMOVED UNK PROPERTY AND FLED TO UNK LOCATION,BURG
110412033,UNK SUSPS ENTERED VICT VEH THROUGH FRONT PASS DOOR BY UNK MEANS TOOK PROP AND FLED IN AN UNK DIRECTION W PROPERTY,BTFV
90304760,UNK S SS ENTERED V RESID S SS REMOVED V PROP S FLED LOC WITH V PROP TO UNK LOC,BURG
120307818,SUSPS APPROACHED VICTS AND PRODUCED A GUN AND DEMANDED MONEY SUSPS FLED WITH PROP IN THE ALLEY TO AN UNK DIRECTION,Robbery
120919877, VICT WAS APPROACHED BY SUSP STARTED VERBAL CONFRONTATION AND SUSP     STRUCK VICT W POSS BASEBALL BAT 3X SUSP AND VICT FLED LOC,Aggravated Assault  
101000878,S SMASHED WNDW AND CUT LOCK IN ATTEMPT TO GAIN ENTRY,BURG
130515312,UNK S ENT VICTS SECURED YARD USED A TRUCK TO TAKE VICTS CHASSIS AND CARGO CONTAINER WITH VICTS PROP REMOVED OSTER MICROWAVES,Grand Theft Auto 
91008339, SUSPS ENTERED V BUSINESS LOC AND SELECTED GROCERIES AND THEN EXITED V STORE WITHOUT ATT TO PAY FOR GROCERIES  WITS CONFRONTED S AND RECOVERED MDSE,Robbery
102104926,UNK SUSP FORCED OPEN REAR PASS WNDW ON VICT LOCKD PKD VEH SUSP REMOVED VICTS STEREO AND TAMPERD W IGNITION SWITCH SUSP FLED TO UNK LOC,Grand Theft Auto 
92109775,UNK S FORCED INTO THE VEH WITH AN UNKNOWN OBJECT AND REMOVED A CAR STEREO UNK S FLED TO AN UNK LOC,BTFV
